#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  99000      1.61e+00      2.95e-03      5.60e-02    8.2e-04
 100000      1.84e+00      6.71e-03      6.43e-02    8.1e-04
 101000      1.46e+00      1.14e-02      5.11e-02    8.1e-04
 102000      2.11e+00      1.19e-02      7.39e-02    8.1e-04
 103000      2.08e+00      3.44e-03      7.29e-02    8.1e-04
 104000      1.66e+00      8.34e-03      5.82e-02    8.1e-04
 105000      1.61e+00      7.43e-03      5.65e-02    8.1e-04
 106000      2.07e+00      1.26e-02      7.28e-02    8.1e-04
 107000      2.35e+00      1.04e-02      8.27e-02    8.1e-04
 108000      1.43e+00      1.75e-03      5.03e-02    8.1e-04
 109000      1.62e+00      9.13e-04      5.72e-02    8.1e-04
 110000      2.12e+00      1.24e-04      7.52e-02    8.0e-04
 111000      2.30e+00      1.35e-03      8.12e-02    8.0e-04
 112000      1.24e+00      3.80e-03      4.40e-02    8.0e-04
 113000      1.77e+00      8.65e-03      6.27e-02    8.0e-04
 114000      1.93e+00      2.32e-03      6.84e-02    8.0e-04
 115000      2.00e+00      2.53e-03      7.12e-02    7.9e-04
 116000      1.69e+00      9.10e-04      6.03e-02    7.9e-04
 117000      1.96e+00      5.57e-03      6.96e-02    7.9e-04
 118000      1.27e+00      5.62e-03      4.51e-02    7.9e-04
 119000      1.79e+00      1.98e-03      6.37e-02    7.9e-04
 120000      1.91e+00      4.10e-03      6.83e-02    7.8e-04
 121000      1.73e+00      4.03e-03      6.20e-02    7.8e-04
 122000      1.92e+00      2.84e-03      6.87e-02    7.8e-04
 123000      1.65e+00      6.09e-03      5.91e-02    7.8e-04
 124000      1.90e+00      9.35e-03      6.78e-02    7.8e-04
 125000      1.96e+00      1.06e-02      7.04e-02    7.7e-04
 126000      1.58e+00      9.22e-03      5.69e-02    7.7e-04
 127000      2.07e+00      3.79e-03      7.44e-02    7.7e-04
 128000      1.65e+00      1.36e-02      5.93e-02    7.7e-04
 129000      1.38e+00      1.83e-03      4.96e-02    7.7e-04
 130000      1.87e+00      3.38e-03      6.77e-02    7.7e-04
 131000      1.83e+00      3.52e-03      6.61e-02    7.7e-04
 132000      1.75e+00      8.08e-04      6.34e-02    7.7e-04
 133000      1.80e+00      1.78e-03      6.49e-02    7.7e-04
 134000      1.79e+00      1.01e-02      6.46e-02    7.7e-04
 135000      1.59e+00      9.91e-03      5.75e-02    7.6e-04
 136000      1.96e+00      8.13e-03      7.11e-02    7.6e-04
 137000      1.69e+00      1.81e-04      6.15e-02    7.6e-04
 138000      2.40e+00      1.14e-02      8.72e-02    7.6e-04
 139000      1.61e+00      6.20e-03      5.86e-02    7.6e-04
 140000      1.72e+00      2.46e-03      6.29e-02    7.5e-04
 141000      1.57e+00      5.41e-03      5.71e-02    7.5e-04
 142000      1.61e+00      4.42e-03      5.86e-02    7.5e-04
 143000      1.37e+00      1.02e-02      4.99e-02    7.5e-04
 144000      1.90e+00      1.01e-02      6.92e-02    7.5e-04
 145000      1.65e+00      4.24e-03      6.04e-02    7.4e-04
 146000      1.56e+00      2.95e-03      5.72e-02    7.4e-04
 147000      1.66e+00      5.87e-03      6.08e-02    7.4e-04
 148000      1.35e+00      8.54e-03      4.96e-02    7.4e-04
 149000      1.32e+00      1.26e-03      4.86e-02    7.4e-04
 150000      1.58e+00      3.49e-03      5.82e-02    7.4e-04
 151000      1.76e+00      5.63e-03      6.48e-02    7.4e-04
 152000      1.68e+00      1.07e-03      6.20e-02    7.4e-04
 153000      1.43e+00      1.37e-03      5.27e-02    7.4e-04
 154000      2.02e+00      7.43e-03      7.45e-02    7.4e-04
 155000      1.65e+00      3.23e-03      6.12e-02    7.3e-04
 156000      1.81e+00      7.98e-03      6.72e-02    7.3e-04
 157000      1.73e+00      9.40e-03      6.41e-02    7.3e-04
 158000      1.89e+00      7.74e-03      7.00e-02    7.3e-04
 159000      1.58e+00      5.13e-03      5.84e-02    7.3e-04
 160000      1.71e+00      9.05e-03      6.37e-02    7.2e-04
 161000      1.28e+00      7.13e-03      4.78e-02    7.2e-04
 162000      1.69e+00      3.08e-03      6.28e-02    7.2e-04
 163000      1.68e+00      4.74e-03      6.25e-02    7.2e-04
 164000      1.45e+00      8.66e-03      5.39e-02    7.2e-04
 165000      1.50e+00      7.06e-03      5.60e-02    7.1e-04
 166000      1.44e+00      1.05e-02      5.39e-02    7.1e-04
 167000      1.83e+00      2.82e-03      6.85e-02    7.1e-04
 168000      1.71e+00      2.39e-03      6.40e-02    7.1e-04
 169000      1.62e+00      8.31e-03      6.06e-02    7.1e-04
 170000      1.37e+00      5.09e-03      5.15e-02    7.1e-04
 171000      1.64e+00      3.75e-03      6.18e-02    7.1e-04
 172000      1.96e+00      6.94e-03      7.36e-02    7.1e-04
 173000      1.77e+00      6.01e-03      6.67e-02    7.1e-04
 174000      1.91e+00      1.13e-03      7.20e-02    7.1e-04
 175000      1.57e+00      3.47e-03      5.92e-02    7.0e-04
 176000      1.71e+00      4.69e-03      6.48e-02    7.0e-04
 177000      2.29e+00      4.23e-03      8.65e-02    7.0e-04
 178000      1.62e+00      7.59e-03      6.14e-02    7.0e-04
 179000      1.71e+00      5.90e-03      6.46e-02    7.0e-04
 180000      1.56e+00      2.10e-03      5.93e-02    6.9e-04
 181000      1.39e+00      9.60e-03      5.27e-02    6.9e-04
 182000      1.60e+00      1.95e-02      6.05e-02    6.9e-04
 183000      1.67e+00      5.97e-04      6.36e-02    6.9e-04
 184000      1.59e+00      4.03e-03      6.06e-02    6.9e-04
 185000      1.58e+00      1.25e-02      6.01e-02    6.8e-04
 186000      1.83e+00      4.89e-03      7.00e-02    6.8e-04
 187000      1.62e+00      4.11e-03      6.18e-02    6.8e-04
 188000      1.64e+00      1.22e-03      6.27e-02    6.8e-04
 189000      1.99e+00      6.26e-03      7.61e-02    6.8e-04
 190000      1.28e+00      4.05e-03      4.92e-02    6.8e-04
 191000      1.61e+00      3.80e-03      6.18e-02    6.8e-04
 192000      1.33e+00      4.23e-03      5.10e-02    6.8e-04
 193000      1.47e+00      7.31e-03      5.63e-02    6.8e-04
 194000      1.13e+00      8.49e-03      4.35e-02    6.8e-04
 195000      4.04e+00      1.15e-02      1.56e-01    6.7e-04
 196000      1.63e+00      5.47e-03      6.29e-02    6.7e-04
 197000      1.95e+00      3.98e-03      7.52e-02    6.7e-04
 198000      1.89e+00      3.39e-03      7.29e-02    6.7e-04
 199000      1.58e+00      3.07e-04      6.10e-02    6.7e-04
 200000      1.45e+00      1.02e-02      5.62e-02    6.6e-04
 201000      1.17e+00      7.36e-04      4.54e-02    6.6e-04
 202000      1.60e+00      7.98e-03      6.19e-02    6.6e-04
 203000      1.48e+00      3.08e-04      5.73e-02    6.6e-04
 204000      1.58e+00      3.23e-04      6.14e-02    6.6e-04
 205000      9.42e-01      3.54e-04      3.67e-02    6.6e-04
 206000      1.87e+00      1.85e-03      7.29e-02    6.6e-04
 207000      1.64e+00      5.94e-03      6.41e-02    6.6e-04
 208000      1.10e+00      6.21e-03      4.30e-02    6.6e-04
 209000      1.89e+00      5.46e-03      7.36e-02    6.6e-04
 210000      2.12e+00      1.65e-03      8.33e-02    6.5e-04
 211000      1.54e+00      1.87e-03      6.04e-02    6.5e-04
 212000      1.44e+00      5.37e-03      5.63e-02    6.5e-04
 213000      1.84e+00      2.92e-03      7.23e-02    6.5e-04
 214000      1.59e+00      3.34e-03      6.24e-02    6.5e-04
 215000      1.65e+00      1.85e-03      6.49e-02    6.4e-04
 216000      1.20e+00      1.07e-03      4.74e-02    6.4e-04
 217000      1.44e+00      4.54e-03      5.68e-02    6.4e-04
 218000      1.55e+00      1.81e-03      6.12e-02    6.4e-04
 219000      1.25e+00      1.24e-03      4.93e-02    6.4e-04
 220000      1.75e+00      7.84e-03      6.91e-02    6.4e-04
 221000      1.64e+00      7.99e-03      6.47e-02    6.4e-04
 222000      1.34e+00      5.28e-03      5.29e-02    6.4e-04
 223000      1.46e+00      4.49e-03      5.78e-02    6.4e-04
 224000      1.56e+00      1.06e-02      6.19e-02    6.4e-04
 225000      1.50e+00      5.64e-03      5.99e-02    6.3e-04
 226000      1.28e+00      3.79e-03      5.10e-02    6.3e-04
 227000      1.85e+00      6.17e-04      7.39e-02    6.3e-04
 228000      1.68e+00      5.36e-04      6.67e-02    6.3e-04
 229000      1.63e+00      3.07e-03      6.50e-02    6.3e-04
 230000      1.21e+00      2.55e-03      4.84e-02    6.2e-04
 231000      1.24e+00      3.32e-03      4.97e-02    6.2e-04
 232000      1.75e+00      1.71e-03      7.00e-02    6.2e-04
 233000      1.68e+00      1.58e-03      6.71e-02    6.2e-04
 234000      1.54e+00      6.77e-04      6.18e-02    6.2e-04
 235000      1.38e+00      2.02e-03      5.54e-02    6.2e-04
 236000      1.49e+00      6.88e-03      5.98e-02    6.2e-04
 237000      1.52e+00      1.92e-03      6.10e-02    6.2e-04
 238000      1.54e+00      8.99e-03      6.20e-02    6.2e-04
 239000      1.65e+00      3.44e-03      6.64e-02    6.2e-04
 240000      1.41e+00      4.01e-03      5.72e-02    6.1e-04
 241000      1.44e+00      2.96e-03      5.82e-02    6.1e-04
 242000      1.60e+00      2.55e-03      6.46e-02    6.1e-04
 243000      1.92e+00      2.53e-03      7.78e-02    6.1e-04
 244000      1.57e+00      9.42e-04      6.35e-02    6.1e-04
 245000      1.57e+00      6.47e-03      6.38e-02    6.0e-04
 246000      1.00e+00      4.94e-03      4.07e-02    6.0e-04
 247000      1.51e+00      1.40e-03      6.12e-02    6.0e-04
 248000      1.34e+00      3.32e-03      5.46e-02    6.0e-04
 249000      1.74e+00      3.07e-03      7.07e-02    6.0e-04
 250000      1.63e+00      5.33e-03      6.65e-02    6.0e-04
 251000      1.49e+00      3.51e-03      6.09e-02    6.0e-04
 252000      1.52e+00      9.96e-04      6.22e-02    6.0e-04
 253000      1.08e+00      3.57e-03      4.41e-02    6.0e-04
 254000      1.24e+00      8.27e-03      5.05e-02    6.0e-04
 255000      1.69e+00      2.33e-03      6.93e-02    5.9e-04
 256000      1.39e+00      1.34e-03      5.71e-02    5.9e-04
 257000      1.65e+00      1.12e-02      6.75e-02    5.9e-04
 258000      1.20e+00      7.21e-03      4.93e-02    5.9e-04
 259000      1.80e+00      4.64e-03      7.39e-02    5.9e-04
 260000      1.66e+00      1.37e-03      6.86e-02    5.9e-04
 261000      1.46e+00      1.85e-03      6.01e-02    5.9e-04
 262000      1.53e+00      6.23e-03      6.29e-02    5.9e-04
 263000      1.42e+00      5.10e-03      5.86e-02    5.9e-04
 264000      1.56e+00      6.00e-03      6.44e-02    5.9e-04
 265000      1.79e+00      2.76e-03      7.42e-02    5.8e-04
 266000      1.27e+00      8.68e-03      5.27e-02    5.8e-04
 267000      1.28e+00      4.81e-03      5.31e-02    5.8e-04
 268000      1.84e+00      2.77e-03      7.63e-02    5.8e-04
 269000      1.23e+00      4.55e-03      5.09e-02    5.8e-04
 270000      1.51e+00      3.10e-03      6.29e-02    5.7e-04
 271000      1.44e+00      7.44e-04      5.98e-02    5.7e-04
 272000      1.11e+00      3.27e-03      4.62e-02    5.7e-04
 273000      1.45e+00      1.82e-03      6.03e-02    5.7e-04
 274000      1.51e+00      6.58e-03      6.29e-02    5.7e-04
 275000      1.43e+00      5.19e-04      6.01e-02    5.7e-04
 276000      1.45e+00      4.50e-03      6.06e-02    5.7e-04
 277000      1.69e+00      1.98e-03      7.10e-02    5.7e-04
 278000      1.18e+00      4.96e-03      4.92e-02    5.7e-04
 279000      1.65e+00      9.58e-03      6.93e-02    5.7e-04
 280000      1.34e+00      1.76e-02      5.59e-02    5.6e-04
 281000      1.38e+00      3.76e-03      5.80e-02    5.6e-04
 282000      1.36e+00      2.44e-03      5.74e-02    5.6e-04
 283000      1.03e+00      2.57e-03      4.33e-02    5.6e-04
 284000      1.51e+00      4.21e-03      6.38e-02    5.6e-04
 285000      1.52e+00      2.79e-03      6.43e-02    5.6e-04
 286000      1.40e+00      4.72e-03      5.94e-02    5.6e-04
 287000      1.46e+00      5.15e-03      6.16e-02    5.6e-04
 288000      1.22e+00      8.68e-03      5.17e-02    5.6e-04
 289000      1.40e+00      1.63e-04      5.92e-02    5.6e-04
 290000      1.42e+00      7.04e-03      6.05e-02    5.5e-04
 291000      1.50e+00      1.72e-03      6.39e-02    5.5e-04
 292000      1.39e+00      4.53e-03      5.93e-02    5.5e-04
 293000      2.03e+00      5.19e-03      8.65e-02    5.5e-04
 294000      1.39e+00      2.21e-03      5.92e-02    5.5e-04
 295000      1.71e+00      1.61e-03      7.30e-02    5.5e-04
 296000      1.29e+00      6.27e-03      5.52e-02    5.5e-04
 297000      1.56e+00      4.70e-03      6.65e-02    5.5e-04
 298000      1.43e+00      1.59e-03      6.13e-02    5.5e-04
 299000      1.27e+00      1.13e-03      5.43e-02    5.5e-04
 300000      1.07e+00      2.64e-03      4.62e-02    5.4e-04
 301000      1.73e+00      6.04e-03      7.43e-02    5.4e-04
 302000      1.33e+00      5.55e-03      5.73e-02    5.4e-04
 303000      1.12e+00      1.77e-03      4.82e-02    5.4e-04
 304000      7.83e-01      6.59e-03      3.36e-02    5.4e-04
 305000      1.52e+00      9.24e-03      6.58e-02    5.3e-04
 306000      1.70e+00      1.85e-03      7.37e-02    5.3e-04
 307000      1.61e+00      3.50e-03      6.95e-02    5.3e-04
 308000      1.37e+00      4.95e-03      5.91e-02    5.3e-04
 309000      1.18e+00      8.66e-04      5.09e-02    5.3e-04
 310000      1.69e+00      1.72e-02      7.31e-02    5.3e-04
 311000      9.16e-01      3.75e-03      3.98e-02    5.3e-04
 312000      1.58e+00      3.32e-03      6.84e-02    5.3e-04
 313000      8.93e-01      6.48e-03      3.87e-02    5.3e-04
 314000      1.26e+00      3.81e-04      5.48e-02    5.3e-04
 315000      1.03e+00      4.08e-03      4.52e-02    5.2e-04
 316000      1.05e+00      2.04e-03      4.60e-02    5.2e-04
 317000      1.27e+00      1.55e-03      5.54e-02    5.2e-04
 318000      9.17e-01      2.31e-03      4.00e-02    5.2e-04
 319000      1.17e+00      9.22e-04      5.09e-02    5.2e-04
 320000      1.34e+00      3.74e-03      5.90e-02    5.2e-04
 321000      1.64e+00      1.05e-02      7.21e-02    5.2e-04
 322000      1.26e+00      1.26e-04      5.52e-02    5.2e-04
 323000      1.01e+00      2.61e-03      4.42e-02    5.2e-04
 324000      1.66e+00      7.05e-03      7.26e-02    5.2e-04
 325000      1.45e+00      4.08e-03      6.38e-02    5.1e-04
 326000      7.73e-01      4.30e-04      3.41e-02    5.1e-04
 327000      1.47e+00      4.26e-03      6.46e-02    5.1e-04
 328000      1.42e+00      7.64e-03      6.24e-02    5.1e-04
 329000      1.08e+00      1.19e-03      4.76e-02    5.1e-04
 330000      1.29e+00      3.09e-03      5.72e-02    5.1e-04
 331000      1.29e+00      1.39e-03      5.72e-02    5.1e-04
 332000      1.21e+00      1.71e-03      5.37e-02    5.1e-04
 333000      1.36e+00      5.15e-03      6.03e-02    5.1e-04
 334000      1.22e+00      2.75e-03      5.40e-02    5.1e-04
 335000      8.57e-01      1.27e-03      3.82e-02    5.0e-04
 336000      1.34e+00      5.81e-04      5.97e-02    5.0e-04
 337000      1.09e+00      1.04e-02      4.85e-02    5.0e-04
 338000      1.32e+00      2.74e-03      5.87e-02    5.0e-04
 339000      1.23e+00      1.83e-03      5.46e-02    5.0e-04
 340000      7.31e-01      7.13e-03      3.26e-02    5.0e-04
 341000      1.39e+00      4.25e-03      6.21e-02    5.0e-04
 342000      1.72e+00      4.70e-03      7.69e-02    5.0e-04
 343000      1.28e+00      3.16e-03      5.75e-02    5.0e-04
 344000      1.70e+00      2.57e-03      7.59e-02    5.0e-04
 345000      9.77e-01      6.82e-03      4.39e-02    4.9e-04
 346000      1.08e+00      1.48e-03      4.87e-02    4.9e-04
 347000      1.70e+00      2.74e-03      7.66e-02    4.9e-04
 348000      1.42e+00      9.61e-04      6.38e-02    4.9e-04
 349000      1.17e+00      3.51e-03      5.26e-02    4.9e-04
